id,nombre,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,estadoOperativo,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,fechaInstalacion,CODIGO_INTERNO,CONTRATO_COD,modelo,tipo,accesibilidad,IndicadorExposicion
19706,carrusel en area infantil,24,legazpi,2,arganzuela,operativo,441061.44,4470977.06,etrs89,40.38730427,-3.6944093,calle,teresa lopez valcarcel,19,28045,"calle teresa lopez valcarcel 19 posterior, ascendiente",20174517,2004-09-13,0204603,ae21,,infantiles,no,medio
19428,escalada en area infantil,121,orcasitas,12,usera,operativo,439665.111,4468721.18,etrs89,40.36688217,-3.71064599,calle,camino viejo de villaverde,34,28041,"camino viejo de villaverde, 000034",31030369,2011-07-02,1206510,ae21,,infantiles,no,medio
19758,balancin en area infantil,152,pueblo nuevo,15,ciudad lineal,operativo,446439.3,4474504.682,etrs89,40.41944641,-3.63134846,parque,la almudena,1,28017,"pq · parque la almudena , ascendiente 1: 152 · pu",31014480,2001-01-01,1506711,ae21,0304 · jmc-14,infantiles,no,medio
19761,carrusel en area infantil,159,costillares,15,ciudad lineal,operativo,443159.241,4480835.336,etrs89,40.47625843,-3.67057641,avenida,san luis,91,28033,"c · calle yerma 11 , ascendiente 1: 159 · costill",11112560,2002-01-01,1512804,ae21,0304 · jmc-14,infantiles,no,bajo
19763,carrusel en area infantil,164,pinar del rey,16,hortaleza,operativo,445423.652,4480994.503,etrs89,40.47784418,-3.64387745,calle,santa virgilia,5,28033,"c · calle santa virgilia 5 , ascendiente 1: 164 ·",11119408,2010-01-01,1603315,ae21,0499 · orbita,infantiles,no,alto
19795,tirolina en area infantil,83,peñagrande,8,fuencarral - el pardo,operativo,438763.174,4480437.245,etrs89,40.47235977,-3.72239662,calle,joaquin lorenzo,2,28035,"calle isla malaita , ascendiente 1: 083 · peñ",31040763,2005-04-11,0801601,ae21,,infantiles,no,medio
20506,columpio en area infantil,22,acacias,2,arganzuela,operativo,440027.135,4472136.255,etrs89,40.39767306,-3.70670368,paseo,yeserias,43,28005,"paseo yeserias 43 , ascendiente 1: 022 · aca",11008377,2006-06-16,0201403,ae21,8054312,infantiles,no,medio
20528,columpio en area infantil,24,legazpi,2,arganzuela,operativo,441789.059,4470870.141,etrs89,40.38639224,-3.68582736,calle,puerto de la cruz verde,19,28045,"calle puerto de la cruz verde c/ puerto serrano, ascendiente 1",20118237,2005-09-20,0204019,ae21,,infantiles,no,alto
20556,columpio en area infantil,31,pacifico,3,retiro,operativo,442633.451,4472435.912,etrs89,40.40055615,-3.67602065,calle,cocheras,1,28007,"parque hoyuelo 2 (junto a canastas) c/ cocheras, ascendiente 1: 031 · pacifi",20001198,2007-02-14,0300611,ae21,,infantiles,no,bajo
20564,columpio en area infantil,31,pacifico,3,retiro,operativo,441843.39,4473070.532,etrs89,40.40621834,-3.68538827,paseo,reina cristina,1,28014,"avenida ciudad de barcelona , ascendiente 1:",11013032,2017-03-15,0301705,ae21,,infantiles,no,bajo
