ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo
5219932,area de juegos/especial,162,piovera,16.0,hortaleza,operativo,446881.45,4478406.3,etrs89,40.45462279,-3.62646305,5219932_TIPO_VIA_desconocido,5219932_NOM_VIA_desconocido,5219932_NUM_VIA_desconocido,28043.0,,,1998-01-01,ai_110005,6,6,infantil
5219934,area de juegos/especial,162,piovera,16.0,hortaleza,operativo,447026.96,4478539.23,etrs89,40.45582958,-3.62475814,5219934_TIPO_VIA_desconocido,5219934_NOM_VIA_desconocido,5219934_NUM_VIA_desconocido,28043.0,,,1998-01-01,ai_110007,6,29,infantil
5220720,area infantil,171,villaverde alto - casco historico de villaverde,17.0,villaverde,operativo,439572.233,4466189.203,etrs89,40.344066,-3.71150006,calle,villastar,6,28021.0,"villastar, 000006",31051710.0,1998-01-01,17129,ae21,5,infantil
5220743,area infantil,173,butarque,17.0,villaverde,operativo,442078.01,4467006.79,etrs89,40.35160905,-3.68207229,calle,miguel solas,6,28021.0,"miguel solas, 000006",20040738.0,2019-12-30,17130,ae21,13,infantil
5220866,area infantil,194,el cañaveral,19.0,vicalvaro,operativo,452970.84,4472987.48,etrs89,40.40617311,-3.55424922,calle,dialogo,71,28052.0,"dialogo, 000071",31040290.0,2019-12-10,19063,ae21,5,infantil
5237108,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,445534.64,4483586.86,etrs89,40.50120464,-3.64279091,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237108_CODIGO_INTERNO_desconocido,6,4,infantil
5237110,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,447265.51,4483522.38,etrs89,40.50073558,-3.62235927,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237110_CODIGO_INTERNO_desconocido,6,12,infantil
5237112,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,447664.209,4483488.165,etrs89,40.5004526,-3.61765136,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237112_CODIGO_INTERNO_desconocido,6,4,infantil
5237114,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,445734.73,4482013.13,etrs89,40.48704085,-3.64029484,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237114_CODIGO_INTERNO_desconocido,6,1,infantil
5237116,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,445935.18,4481899.44,etrs89,40.48602976,-3.6379201,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237116_CODIGO_INTERNO_desconocido,6,13,infantil
5237118,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,446151.3,4482246.77,etrs89,40.48917272,-3.63539972,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237118_CODIGO_INTERNO_desconocido,6,4,infantil
5237120,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,446171.25,4482256.97,etrs89,40.4892659,-3.6351652,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237120_CODIGO_INTERNO_desconocido,6,3,infantil
5237122,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,446186.65,4482272.52,etrs89,40.48940698,-3.63498481,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237122_CODIGO_INTERNO_desconocido,6,5,infantil
5237124,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,446846.63,4481722.7,etrs89,40.48449645,-3.62715155,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237124_CODIGO_INTERNO_desconocido,6,4,infantil
5237126,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,446851.67,4481738.61,etrs89,40.4846401,-3.62709342,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237126_CODIGO_INTERNO_desconocido,6,7,infantil
5237128,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,446859.37,4481754.26,etrs89,40.48478157,-3.62700388,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237128_CODIGO_INTERNO_desconocido,6,4,infantil
5237130,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,446859.65,4481765.95,etrs89,40.4848869,-3.62700156,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237130_CODIGO_INTERNO_desconocido,6,2,infantil
5237133,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,446923.98,4481799.85,etrs89,40.4851964,-3.62624541,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237133_CODIGO_INTERNO_desconocido,6,1,infantil
5237135,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,447622.634,4481763.399,etrs89,40.4849124,-3.61799942,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237135_CODIGO_INTERNO_desconocido,6,3,infantil
5237137,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,447939.37,4482183.9,etrs89,40.48872042,-3.614297,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237137_CODIGO_INTERNO_desconocido,6,8,infantil
5237139,area de juegos/especial,166,valdefuentes,16.0,hortaleza,operativo,447794.92,4482618.06,etrs89,40.49262249,-3.61603713,avenida,avenida de las fuerzas armadas,11,28055.0,,,1998-01-01,5237139_CODIGO_INTERNO_desconocido,6,9,infantil
